feature	prob	vmin	pi	mu	sigma	block
splice3	1.0	0.00302222	0.105956	0	0.968332	ld_block1
gene4	0.853095	0.00197789	0.105956	0	0.968332	ld_block1
gene5	0.0254441	0.000161385	0.105956	0	0.968332	ld_block1
gene10	0.0226355	-0.000632627	0.105956	0	0.968332	ld_block1
splice6	0.0206485	-0.000346567	0.105956	0	0.968332	ld_block1
gene3	0.0163385	0.000447528	0.105956	0	0.968332	ld_block1
splice5	0.0155755	-0.000393414	0.105956	0	0.968332	ld_block1
gene1	0.0155119	-0.000338952	0.105956	0	0.968332	ld_block1
splice10	0.0153456	0.000117814	0.105956	0	0.968332	ld_block1
splice9	0.0150662	-0.00025305	0.105956	0	0.968332	ld_block1
splice4	0.0147389	-0.000230881	0.105956	0	0.968332	ld_block1
splice1	0.0146986	-0.000285329	0.105956	0	0.968332	ld_block1
gene2	0.0143414	8.1739e-05	0.105956	0	0.968332	ld_block1
gene9	0.0142862	0.000402654	0.105956	0	0.968332	ld_block1
splice8	0.0132754	0.000228949	0.105956	0	0.968332	ld_block1
gene7	0.0121024	0.000471684	0.105956	0	0.968332	ld_block1
splice7	0.0120048	0.000525734	0.105956	0	0.968332	ld_block1
gene8	0.0116084	-8.10562e-05	0.105956	0	0.968332	ld_block1
splice2	0.0116083	2.17e-05	0.105956	0	0.968332	ld_block1
gene6	0.000785087	5.84488e-05	0.105956	0	0.968332	ld_block1
